,power
0,0.0
1,0.0
2,140242.51942608564
3,100552.75276278755
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,97177.83545967164
13,146405.30709850308
14,174860.82403306328
15,177477.1555488656
16,125119.2918377984
17,97157.60632698017
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,163876.29398544526
25,167451.22080706188
26,156636.3100980485
27,215492.52110958536
28,295595.11608021386
29,421260.6042816241
30,833732.0451960466
31,1263556.2734279684
32,1650477.5787269974
33,3370000.1029635724
34,3370000.1542352047
35,3370005.973473266
36,3370010.9678830006
37,3370017.6575327166
38,3370000.9209343926
39,3370000.411894324
40,3370001.302113052
41,3370001.826948014
42,3370000.3558203937
43,3370000.174934787
44,3370000.149484385
45,3097436.134375294
46,3217609.5160945174
47,3370000.1988268867
48,3370000.180240312
49,3370000.150818163
50,3175105.5602301485
51,2991937.1427889704
52,2263662.8367528403
53,2100849.3972073323
54,2158181.3813716867
55,2012239.5018777067
56,1749598.241409302
57,1602979.280981236
58,1072113.564748268
59,979779.140253974
60,969800.3906960876
61,829208.4281009873
62,772714.35399156
63,804412.3181684178
64,712826.5931877214
65,670734.4930305708
66,654704.0496292406
67,637440.467521817
68,527417.9247756706
69,545545.8660889443
70,383869.4175691606
71,581533.7391126172
72,696706.4200858347
73,746228.6753379352
74,865072.8749570622
75,1420914.4415407216
76,1481972.0554764562
77,1642618.5388859378
78,1663531.3880971088
79,2384028.777511408
80,2425631.544677579
81,2547211.3697637757
82,2727010.854855197
83,2554689.120244836
84,3362579.973227374
85,3244441.247429084
86,2990411.8631820264
87,3370000.0428910563
88,3361900.181298488
89,3370000.11273953
90,3365352.582962104
91,3370000.0938277054
92,3370000.220612193
93,3370000.3758829045
94,3370000.331504776
95,3370001.0039063217
96,3370002.132396835
97,3370000.866134417
98,3370001.2443078123
99,3370001.9480602136
100,3370001.931168499
101,3370001.3318369268
102,3370001.1033567204
103,3370000.553540907
104,3370000.334116216
105,3370000.2143966453
106,3370000.18026626
107,3370000.148830479
108,3152310.6938717826
109,1991153.8681872
110,1883071.018507478
111,1466262.2494103103
112,1189238.852693488
113,1350140.0737192803
114,3370000.656116272
115,3370000.167010625
116,3370000.5299789463
117,3370000.8897207025
118,3370000.229650072
119,3370001.4530356093
120,3370000.854180052
121,3370000.2212185613
122,3370000.1512777144
123,3370000.139527316
124,3370000.141936614
125,3370000.133286034
126,3370000.171587997
127,3370000.489987658
128,3370001.9598835777
129,3370002.056491166
130,3370002.143326736
131,3370001.626235845
132,3370000.7719802894
133,3370000.583904952
134,3370000.547013261
135,3370000.2775335587
136,3370000.1453430383
137,3370000.1502985754
138,2976490.7451770734
139,2214391.1719716527
140,1869543.6412819028
141,1226701.571952599
142,1504139.7368489464
143,1251890.961995327
144,1195540.356721
145,1209872.2985293483
146,896036.6883547814
147,953779.5534835882
148,870812.1151801911
149,738602.5910198267
150,897018.7873953126
151,714656.7728929392
152,734942.1034916873
153,707074.2623285856
154,766734.8291269661
155,790413.6682465754
156,849507.3503728025
157,934188.3191753976
158,858029.2159471358
159,979413.0036134416
160,1080001.9966874174
161,1034939.4306009702
162,1061168.4249901203
163,825103.6677914835
164,788420.5060480101
165,689322.1039820655
166,674926.4781799994
167,657678.0345694525
168,853246.4850359506
169,905858.4323636747
170,1379067.6419238711
171,1544882.6858804622
172,2055170.6165119049
173,2059114.583863642
174,2566261.809822953
175,2631455.636195015
176,3258200.262278443
177,3370000.040741493
178,3370000.16054509
179,3370000.122335003
180,3370000.1186416163
181,3086430.599218382
182,3370000.155245132
183,3370000.0819122624
184,2370274.517604896
185,1086051.881402288
186,1374220.9130407365
187,1578312.890049665
188,1535702.962096992
189,3370000.151857325
190,3370000.16559396
191,3370000.17664291
192,3370000.4138480434
193,3370000.30131482
194,3370000.124082505
195,3370001.7123336084
196,3370000.9924823693
197,3370000.2621206664
198,3370000.8817434013
199,3370000.2163768164
200,3370000.245024901
201,3370000.2449363745
202,3370000.23572394
203,3370000.937640354
204,3370000.4651580383
205,3370000.2215471976
206,3370000.1770311366
207,3370000.4591757883
208,3370000.558648443
209,3370000.18282839
210,3370000.1416648217
211,3366282.752432345
212,3369144.8197711566
213,3370000.188531115
214,3370000.3166547306
215,3370000.2027205774
216,3370000.247327974
217,3370000.634134922
218,3370000.8202221743
219,3370000.581635137
220,3370000.279482437
221,3370000.5722705075
222,3370000.7661426337
223,3370001.6121055805
224,3370001.551177073
225,3370000.6500529866
226,3370001.4204924386
227,3370000.883852363
228,3370000.9988101698
229,3370000.429263986
230,3370000.344397089
231,3370000.2335933927
232,3370000.16821637
233,2903055.467871049
234,3019433.593998957
235,3097049.751685878
236,2979541.380672103
237,3370000.090859968
238,3370000.170859134
239,3370000.324977546
240,3370000.182181372
241,3370000.233978316
242,3370000.1763064605
243,2860376.425344073
244,2180564.7598881265
245,1782340.105076949
246,1212478.1144220848
247,793044.7219479885
248,506364.1897374762
249,334489.7763542103
250,259018.3827989295
251,341697.3746745347
252,1219752.6716650454
253,2586380.3524313075
254,1911276.4310245248
255,1360723.693485875
256,1247330.822184456
257,1260637.3922294024
258,1122793.4660656652
259,1373629.9322709816
260,1049335.796802397
261,1098809.399494175
262,787623.2405307686
263,1006753.6538301092
264,817899.4389765789
265,903001.2497581114
266,989570.7426576884
267,668050.6109271565
268,601601.514190821
269,684921.4154579774
270,537625.3712982165
271,794639.1955791238
272,972913.088611266
273,1085949.8418001926
274,1484894.837508382
275,1612845.8550098117
276,1922357.181222112
277,2085510.3901168164
278,1769547.4638689656
279,2055018.8925527516
280,2024223.8499825825
281,3370000.137795939
282,1890985.6501207752
283,1832394.074426649
284,1649944.732123852
285,1944912.166023323
286,2886697.9921920486
287,3135213.808003442
288,3370000.1323828166
289,3370000.169090523
290,3370000.386697552
291,3370000.3675701777
292,3370002.16816835
293,1506277.490803699
294,1842068.2254443949
295,3186978.3237649235
296,3370000.127259636
297,2132475.492500048
298,2234430.477633827
299,1959833.583174871
300,1066591.6489805826
301,843681.141476784
302,1112179.2572586492
303,2204772.06798843
304,3370000.2265526853
305,3370000.2537057507
306,3370000.2708900785
307,3370001.718906144
308,3370000.4014232717
309,3370001.357125348
310,3370000.7794374838
311,3370000.148558037
312,3370000.075959904
313,1879760.9532593852
314,1372227.6100086162
315,1064225.1564743193
316,1243856.4502150258
317,1198689.0022467158
318,702748.1267520826
319,384551.97382982646
320,198235.24168731712
321,125332.07211780676
322,0.0
323,0.0
324,0.0
325,0.0
326,98148.71327769794
327,204612.14785764963
328,283996.24401224934
329,695140.1070523098
330,1376112.3550705328
331,1397272.0994295003
332,1508792.4584711597
333,1929120.723050402
334,1467114.7433345334
335,1088195.1416983516
336,1223118.6027868348
337,1062943.2519696662
338,595372.59875884
339,369913.4697706841
